,ds_type,noise_levels,n_samples,k_folds,pramter,TRE,TESTE,E_DIFF,data
27,circles,0.0,100,7,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
70  0.803965  0.196035      0              0          0                  0
71  0.958125  0.041875      0              0          0                  0
72  0.248188  0.751812      0              0          0                  0
73  0.444821  0.555179      0              0          0                  0
74  0.363296  0.276704      1              1          1                  1
75  0.114743  0.885257      0              0          0                  0
76  0.982029  0.017971      0              0          0                  0
77  0.033253  0.606747      1              1          1                  1
78  0.836739  0.163261      0              0          0                  0
79  0.704898  0.295102      0              0          0                  0"
28,circles,0.0,100,8,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
80  0.531921  0.108079      1              1          1                  1
81  0.997083  0.002917      0              0          0                  0
82  0.022176  0.617824      1              1          1                  1
83  0.639264  0.000736      1              1          1                  1
84  0.001421  0.998579      0              0          0                  0
85  0.012151  0.627849      1              1          1                  1
86  0.081835  0.558165      1              1          1                  1
87  0.788786  0.211214      0              0          0                  0
88  0.291888  0.348112      1              1          1                  1
89  0.584440  0.055560      1              1          1                  1"
29,circles,0.0,100,9,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
90  0.000191  0.999809      0              0          0                  0
91  0.958125  0.041875      0              0          0                  0
92  0.060043  0.939957      0              0          0                  0
93  0.022769  0.617231      1              1          1                  1
94  0.738671  0.261329      0              0          0                  0
95  0.626778  0.373222      0              0          0                  0
96  0.590615  0.049385      1              1          1                  1
97  0.533903  0.466097      0              0          0                  0
98  0.341698  0.298302      1              1          1                  1
99  0.622812  0.017188      1              1          1                  1"
30,circles,0.0,1000,0,1000,1.0,1.0,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
0   0.627993  0.372007      0              0          0                  0
1   0.029100  0.610900      1              1          1                  1
2   1.000000  0.000000      0              0          0                  0
3   0.629947  0.010053      1              1          1                  1
4   0.783634  0.216366      0              0          0                  0
..       ...       ...    ...            ...        ...                ...
95  0.626778  0.373222      0              0          0                  0
96  0.590615  0.049385      1              1          1                  1
97  0.533903  0.466097      0              0          0                  0
98  0.341698  0.298302      1              1          1                  1
99  0.622812  0.017188      1              1          1                  1

[100 rows x 6 columns]"
31,circles,0.0,1000,1,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
100  0.033285  0.966715      0              0          0                  0
101  0.028766  0.611234      1              1          1                  1
102  0.204447  0.435553      1              1          1                  1
103  0.987821  0.012179      0              0          0                  0
104  0.980669  0.019331      0              0          0                  0
..        ...       ...    ...            ...        ...                ...
195  0.004131  0.635869      1              1          1                  1
196  0.011289  0.628711      1              1          1                  1
197  0.138975  0.861025      0              0          0                  0
198  0.183023  0.456977      1              1          1                  1
199  0.489948  0.510052      0              0          0                  0

[100 rows x 6 columns]"
32,circles,0.0,1000,2,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
200  0.007284  0.992716      0              0          0                  0
201  0.059447  0.940553      0              0          0                  0
202  0.193050  0.806950      0              0          0                  0
203  0.026159  0.613841      1              1          1                  1
204  0.585791  0.054209      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
295  0.502513  0.497487      0              0          0                  0
296  0.444821  0.555179      0              0          0                  0
297  0.590185  0.049815      1              1          1                  1
298  0.208144  0.791856      0              0          0                  0
299  0.237413  0.762587      0              0          0                  0

[100 rows x 6 columns]"
33,circles,0.0,1000,3,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
300  0.179356  0.820644      0              0          0                  0
301  0.100359  0.539641      1              1          1                  1
302  0.209166  0.790834      0              0          0                  0
303  0.238862  0.401138      1              1          1                  1
304  0.030799  0.609201      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
395  0.903026  0.096974      0              0          0                  0
396  0.176472  0.823528      0              0          0                  0
397  0.989419  0.010581      0              0          0                  0
398  0.119765  0.520235      1              1          1                  1
399  0.288248  0.711752      0              0          0                  0

[100 rows x 6 columns]"
34,circles,0.0,1000,4,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
400  0.784668  0.215332      0              0          0                  0
401  0.007619  0.632381      1              1          1                  1
402  0.089501  0.550499      1              1          1                  1
403  0.908894  0.091106      0              0          0                  0
404  0.964424  0.035576      0              0          0                  0
..        ...       ...    ...            ...        ...                ...
495  0.138107  0.861893      0              0          0                  0
496  0.382330  0.257670      1              1          1                  1
497  0.474161  0.165839      1              1          1                  1
498  0.220350  0.419650      1              1          1                  1
499  0.027448  0.612552      1              1          1                  1

[100 rows x 6 columns]"
35,circles,0.0,1000,5,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
500  0.000292  0.639708      1              1          1                  1
501  0.290527  0.709473      0              0          0                  0
502  0.999165  0.000835      0              0          0                  0
503  0.138474  0.501526      1              1          1                  1
504  0.316783  0.323217      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
595  0.985816  0.014184      0              0          0                  0
596  0.362316  0.637684      0              0          0                  0
597  0.593994  0.046006      1              1          1                  1
598  0.197727  0.442273      1              1          1                  1
599  0.009577  0.990423      0              0          0                  0

[100 rows x 6 columns]"
36,circles,0.0,1000,6,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
600  0.598062  0.041938      1              1          1                  1
601  0.674679  0.325321      0              0          0                  0
602  0.227253  0.412747      1              1          1                  1
603  0.208960  0.431040      1              1          1                  1
604  0.535513  0.104487      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
695  0.068388  0.571612      1              1          1                  1
696  0.285974  0.714026      0              0          0                  0
697  0.348112  0.291888      1              1          1                  1
698  0.830184  0.169816      0              0          0                  0
699  0.478372  0.161628      1              1          1                  1

[100 rows x 6 columns]"
37,circles,0.0,1000,7,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
700  0.340896  0.299104      1              1          1                  1
701  0.208206  0.431794      1              1          1                  1
702  0.375215  0.264785      1              1          1                  1
703  0.648521  0.351479      0              0          0                  0
704  0.130610  0.509390      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
795  0.838592  0.161408      0              0          0                  0
796  0.226803  0.773197      0              0          0                  0
797  0.039970  0.600030      1              1          1                  1
798  0.001237  0.638763      1              1          1                  1
799  0.081924  0.918076      0              0          0                  0

[100 rows x 6 columns]"
38,circles,0.0,1000,8,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
800  0.632845  0.367155      0              0          0                  0
801  0.015708  0.984292      0              0          0                  0
802  0.138474  0.501526      1              1          1                  1
803  0.897758  0.102242      0              0          0                  0
804  0.424984  0.215016      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
895  0.070892  0.569108      1              1          1                  1
896  0.975915  0.024085      0              0          0                  0
897  0.634775  0.005225      1              1          1                  1
898  0.763656  0.236344      0              0          0                  0
899  0.001719  0.998281      0              0          0                  0

[100 rows x 6 columns]"
39,circles,0.0,1000,9,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
900  0.632028  0.007972      1              1          1                  1
901  0.110500  0.529500      1              1          1                  1
902  0.570140  0.429860      0              0          0                  0
903  0.964888  0.035112      0              0          0                  0
904  0.012818  0.627182      1              1          1                  1
..        ...       ...    ...            ...        ...                ...
995  0.416203  0.583797      0              0          0                  0
996  0.500863  0.139137      1              1          1                  1
997  0.799959  0.200041      0              0          0                  0
998  0.638303  0.001697      1              1          1                  1
999  0.102710  0.537290      1              1          1                  1

[100 rows x 6 columns]"
40,circles,0.0,10000,0,1000,1.0,1.0,0.0,"           x2        y2 levels predict_levels str_levels str_predict_levels
0    0.627993  0.372007      0              0          0                  0
1    0.029100  0.610900      1              1          1                  1
2    1.000000  0.000000      0              0          0                  0
3    0.629947  0.010053      1              1          1                  1
4    0.783634  0.216366      0              0          0                  0
..        ...       ...    ...            ...        ...                ...
995  0.416203  0.583797      0              0          0                  0
996  0.500863  0.139137      1              1          1                  1
997  0.799959  0.200041      0              0          0                  0
998  0.638303  0.001697      1              1          1                  1
999  0.102710  0.537290      1              1          1                  1

[1000 rows x 6 columns]"
41,circles,0.0,10000,1,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
1000  0.998384  0.001616      0              0          0                  0
1001  0.820644  0.179356      0              0          0                  0
1002  0.101532  0.538468      1              1          1                  1
1003  0.001536  0.638464      1              1          1                  1
1004  0.479768  0.160232      1              1          1                  1
...        ...       ...    ...            ...        ...                ...
1995  0.071884  0.928116      0              0          0                  0
1996  0.942323  0.057677      0              0          0                  0
1997  0.544275  0.095725      1              1          1                  1
1998  0.094754  0.905246      0              0          0                  0
1999  0.092874  0.547126      1              1          1                  1

[1000 rows x 6 columns]"
42,circles,0.0,10000,2,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
2000  0.889231  0.110769      0              0          0                  0
2001  0.307136  0.332864      1              1          1                  1
2002  0.566051  0.073949      1              1          1                  1
2003  0.028103  0.611897      1              1          1                  1
2004  0.065529  0.934471      0              0          0                  0
...        ...       ...    ...            ...        ...                ...
2995  0.354515  0.285485      1              1          1                  1
2996  0.069385  0.570615      1              1          1                  1
2997  0.032389  0.967611      0              0          0                  0
2998  0.123552  0.516448      1              1          1                  1
2999  0.229968  0.770032      0              0          0                  0

[1000 rows x 6 columns]"
43,circles,0.0,10000,3,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
3000  0.537663  0.462337      0              0          0                  0
3001  0.502188  0.137812      1              1          1                  1
3002  0.876299  0.123701      0              0          0                  0
3003  0.023701  0.976299      0              0          0                  0
3004  0.624338  0.015662      1              1          1                  1
...        ...       ...    ...            ...        ...                ...
3995  0.203066  0.796934      0              0          0                  0
3996  0.307939  0.332061      1              1          1                  1
3997  0.256093  0.383907      1              1          1                  1
3998  0.519607  0.120393      1              1          1                  1
3999  0.405021  0.234979      1              1          1                  1

[1000 rows x 6 columns]"
44,circles,0.0,10000,4,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
4000  0.000259  0.639741      1              1          1                  1
4001  0.016022  0.983978      0              0          0                  0
4002  0.235755  0.404245      1              1          1                  1
4003  0.337684  0.302316      1              1          1                  1
4004  0.378091  0.621909      0              0          0                  0
...        ...       ...    ...            ...        ...                ...
4995  0.249275  0.750725      0              0          0                  0
4996  0.603833  0.036167      1              1          1                  1
4997  0.000365  0.639635      1              1          1                  1
4998  0.477388  0.522612      0              0          0                  0
4999  0.377590  0.262410      1              1          1                  1

[1000 rows x 6 columns]"
45,circles,0.0,10000,5,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
5000  0.065923  0.574077      1              1          1                  1
5001  0.073844  0.926156      0              0          0                  0
5002  0.262434  0.737566      0              0          0                  0
5003  0.799959  0.200041      0              0          0                  0
5004  0.014443  0.625557      1              1          1                  1
...        ...       ...    ...            ...        ...                ...
5995  0.621757  0.018243      1              1          1                  1
5996  0.316783  0.323217      1              1          1                  1
5997  0.516448  0.123552      1              1          1                  1
5998  0.017638  0.982362      0              0          0                  0
5999  0.056511  0.943489      0              0          0                  0

[1000 rows x 6 columns]"
46,circles,0.0,10000,6,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
6000  0.247104  0.752896      0              0          0                  0
6001  0.389413  0.250587      1              1          1                  1
6002  0.893919  0.106081      0              0          0                  0
6003  0.482547  0.157453      1              1          1                  1
6004  0.619555  0.020445      1              1          1                  1
...        ...       ...    ...            ...        ...                ...
6995  0.020029  0.979971      0              0          0                  0
6996  0.288248  0.711752      0              0          0                  0
6997  0.022472  0.617528      1              1          1                  1
6998  0.527670  0.112330      1              1          1                  1
6999  0.558701  0.081299      1              1          1                  1

[1000 rows x 6 columns]"
47,circles,0.0,10000,7,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
7000  0.000050  0.639950      1              1          1                  1
7001  0.616329  0.023671      1              1          1                  1
7002  0.991144  0.008856      0              0          0                  0
7003  0.003164  0.636836      1              1          1                  1
7004  0.948598  0.051402      0              0          0                  0
...        ...       ...    ...            ...        ...                ...
7995  0.017449  0.622551      1              1          1                  1
7996  0.311958  0.328042      1              1          1                  1
7997  0.172934  0.467066      1              1          1                  1
7998  0.221562  0.778438      0              0          0                  0
7999  0.208960  0.431040      1              1          1                  1

[1000 rows x 6 columns]"
48,circles,0.0,10000,8,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
8000  0.208144  0.791856      0              0          0                  0
8001  0.055932  0.944068      0              0          0                  0
8002  0.576355  0.423645      0              0          0                  0
8003  0.231026  0.768974      0              0          0                  0
8004  0.296249  0.703751      0              0          0                  0
...        ...       ...    ...            ...        ...                ...
8995  0.127384  0.512616      1              1          1                  1
8996  0.961094  0.038906      0              0          0                  0
8997  0.431105  0.568895      0              0          0                  0
8998  0.453571  0.546429      0              0          0                  0
8999  0.500199  0.139801      1              1          1                  1

[1000 rows x 6 columns]"
49,circles,0.0,10000,9,1000,1.0,1.0,0.0,"            x2        y2 levels predict_levels str_levels str_predict_levels
9000  0.629207  0.370793      0              0          0                  0
9001  0.024085  0.975915      0              0          0                  0
9002  0.014925  0.625075      1              1          1                  1
9003  0.869604  0.130396      0              0          0                  0
9004  0.904508  0.095492      0              0          0                  0
...        ...       ...    ...            ...        ...                ...
9995  0.426130  0.573870      0              0          0                  0
9996  0.072414  0.567586      1              1          1                  1
9997  0.074464  0.565536      1              1          1                  1
9998  0.505479  0.134521      1              1          1                  1
9999  0.077836  0.922164      0              0          0                  0

[1000 rows x 6 columns]"
50,circles,0.1,10,0,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
0  0.890359  0.290256      0              0          0                  0"
51,circles,0.1,10,1,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
1  0.061813  0.593015      1              1          1                  1"
52,circles,0.1,10,2,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
2  0.609083  0.380306      0              0          0                  0"
53,circles,0.1,10,3,1000,1.0,0.0,1.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
3  0.354856  0.451769      0              1          0                  1"
54,circles,0.1,10,4,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
4  0.932185  0.215243      0              0          0                  0"
55,circles,0.1,10,5,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
5  0.468077  0.024495      1              1          1                  1"
56,circles,0.1,10,6,1000,1.0,1.0,0.0,"        x2        y2 levels predict_levels str_levels str_predict_levels
6  0.20808  0.425375      1              1          1                  1"
57,circles,0.1,10,7,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
7  0.439534  0.216678      1              1          1                  1"
58,circles,0.1,10,8,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
8  0.256442  0.337684      1              1          1                  1"
59,circles,0.1,10,9,1000,1.0,1.0,0.0,"         x2        y2 levels predict_levels str_levels str_predict_levels
9  0.011326  0.641519      1              1          1                  1"
60,circles,0.1,50,0,1000,0.7111111111111111,0.8,-0.0888888888888889,"         x2        y2 levels predict_levels str_levels str_predict_levels
0  0.890359  0.290256      0              0          0                  0
1  0.061813  0.593015      1              1          1                  1
2  0.609083  0.380306      0              0          0                  0
3  0.354856  0.451769      0              1          0                  1
4  0.932185  0.215243      0              0          0                  0"
61,circles,0.1,50,1,1000,0.6888888888888889,1.0,-0.3111111111111111,"         x2        y2 levels predict_levels str_levels str_predict_levels
5  0.468077  0.024495      1              1          1                  1
6  0.208080  0.425375      1              1          1                  1
7  0.439534  0.216678      1              1          1                  1
8  0.256442  0.337684      1              1          1                  1
9  0.011326  0.641519      1              1          1                  1"
62,circles,0.1,50,2,1000,0.6888888888888889,1.0,-0.3111111111111111,"          x2        y2 levels predict_levels str_levels str_predict_levels
10  0.128181  0.285205      1              1          1                  1
11  0.158104  1.066281      0              0          0                  0
12  1.205664  0.001067      0              0          0                  0
13  0.607946  0.480501      0              0          0                  0
14  0.015525  0.679123      1              1          1                  1"
63,circles,0.1,50,3,1000,0.6888888888888889,1.0,-0.3111111111111111,"          x2        y2 levels predict_levels str_levels str_predict_levels
15  0.302644  0.229401      1              1          1                  1
16  0.382801  0.104631      1              1          1                  1
17  0.363136  0.508033      0              0          0                  0
18  1.183897  0.022873      0              0          0                  0
19  0.351618  0.085789      1              1          1                  1"
64,circles,0.1,50,4,1000,0.7555555555555555,0.4,0.3555555555555555,"          x2        y2 levels predict_levels str_levels str_predict_levels
20  0.569348  0.017198      0              1          0                  1
21  0.341558  0.379700      0              1          0                  1
22  0.449195  0.287305      1              1          1                  1
23  0.708046  0.184117      1              0          1                  0
24  1.016771  0.019247      0              0          0                  0"
65,circles,0.1,50,5,1000,0.7333333333333333,0.6,0.1333333333333333,"          x2        y2 levels predict_levels str_levels str_predict_levels
25  0.635866  0.001963      1              1          1                  1
26  0.458748  0.000503      1              1          1                  1
27  0.230774  0.373551      1              1          1                  1
28  0.659192  0.097648      0              1          0                  1
29  0.245617  0.407870      0              1          0                  1"
66,circles,0.1,50,6,1000,0.8,0.8,0.0,"          x2        y2 levels predict_levels str_levels str_predict_levels
30  0.553795  0.001255      1              1          1                  1
31  0.010353  0.958084      0              0          0                  0
32  0.372362  0.394808      1              1          1                  1
33  0.456528  0.606721      1              0          1                  0
34  0.140033  0.239033      1              1          1                  1"
67,circles,0.1,50,7,1000,0.7555555555555555,0.4,0.3555555555555555,"          x2        y2 levels predict_levels str_levels str_predict_levels
35  0.315401  0.843875      0              0          0                  0
36  0.088559  1.068356      0              0          0                  0
37  0.112614  0.650359      0              1          0                  1
38  0.318218  0.653527      1              0          1                  0
39  0.002552  0.925483      1              0          1                  0"
68,circles,0.1,50,8,1000,0.8222222222222222,0.8,0.022222222222222143,"          x2        y2 levels predict_levels str_levels str_predict_levels
40  0.106774  1.001973      0              0          0                  0
41  0.962021  0.037736      1              0          1                  0
42  0.353404  0.110766      1              1          1                  1
43  0.306324  0.245358      1              1          1                  1
44  0.502485  0.012310      1              1          1                  1"
69,circles,0.1,50,9,1000,0.7555555555555555,0.4,0.3555555555555555,"          x2        y2 levels predict_levels str_levels str_predict_levels
45  0.706428  0.020418      0              1          0                  1
46  0.634151  0.009678      1              1          1                  1
47  0.539286  0.001944      1              1          1                  1
48  0.665999  0.100132      0              1          0                  1
49  0.669972  0.080640      0              1          0                  1"
70,circles,0.1,100,0,1000,0.7888888888888889,0.9,-0.11111111111111116,"         x2        y2 levels predict_levels str_levels str_predict_levels
0  0.890359  0.290256      0              0          0                  0
1  0.061813  0.593015      1              1          1                  1
2  0.609083  0.380306      0              0          0                  0
3  0.354856  0.451769      0              1          0                  1
4  0.932185  0.215243      0              0          0                  0
5  0.468077  0.024495      1              1          1                  1
6  0.208080  0.425375      1              1          1                  1
7  0.439534  0.216678      1              1          1                  1
8  0.256442  0.337684      1              1          1                  1
9  0.011326  0.641519      1              1          1                  1"
